"","t","w","A","a","n","x"
"1",1,4.91394362310215,0,10,0,0
"2",2,4.82936838620525,0,5.3788284273999,0,0
"3",3,4.74624879700088,0,2.89317952514053,0,0
"4",4,4.66455980193574,0,1.55619162753972,0,0
"5",5,4.58427677866014,0,0.837048776469239,0,0
"6",6,4.50537552860645,0,0.450234175399305,0,0
"7",7,4.42783226969523,0,0.242173238162473,0,0
"8",8,4.35162362916695,0,0.13026082977838,0,0
"9",9,4.27672663653711,0,0.0700650654188649,0,0
"10",10,4.20311871667253,0,0.0376867965642625,0,0
"11",11,4.13077768298685,0,0.0202710812697492,0,0
"12",12,4.05968173075317,0,0.0109034668187861,0,0
"13",13,3.98980943053177,0,0.0058647877282098,0,0
"14",14,3.92113972171088,0,0.0031545686953161,0,0
"15",15,3.85365190615874,0,0.00169678837745521,0,0
"16",16,3.78732564198483,0,0.000912673355993781,0,0
"17",17,3.72214093740852,0,0.000490911339214982,0,0
"18",18,3.65807814473321,0,0.00026405278667025,0,0
"19",19,3.59511795442422,0,0.00014202946352761,0,0
"20",20,3.53324138928858,0,7.63952115950668e-05,0,0
"21",21,3.47242979875504,0,4.10916735844776e-05,0,0
"22",22,3.41266485325244,0,2.21025062005626e-05,0,0
"23",23,3.35392853868493,0,1.18885588668369e-05,0,0
"24",24,3.29620315100222,0,6.39465183937593e-06,0,0
"25",25,3.23947129086331,0,3.43957350969603e-06,0,0
"26",26,3.18371585839205,0,1.85008757720847e-06,0,0
"27",27,3.12892004802296,0,9.95130365346831e-07,0,0
"28",28,3.07506734343577,0,5.35263549809639e-07,0,0
"29",29,3.02214151257717,0,2.87909079786707e-07,0,0
"30",30,2.97012660276817,0,1.54861354286328e-07,0,0
"31",31,2.91900693589574,0,8.32972654740951e-08,0,0
"32",32,2.86876710368716,0,4.48041699456739e-08,0,0
"33",33,2.81939196306575,0,2.40993942969847e-08,0,0
"34",34,2.77086663158648,0,1.2962650712774e-08,0,0
"35",35,2.72317648295018,0,6.97238741483247e-09,0,0
"36",36,2.67630714259495,0,3.75032756337462e-09,0,0
"37",37,2.63024448336344,0,2.01723685099408e-09,0,0
"38",38,2.58497462124467,0,1.08503709189256e-09,0,0
"39",39,2.54048391118923,0,5.83622835465503e-10,0,0
"40",40,2.49675894299638,0,3.13920709828158e-10,0,0
"41",41,2.45378653727206,0,1.68852563797325e-10,0,0
"42",42,2.41155374145639,0,9.0822897019241e-11,0,0
"43",43,2.37004782591955,0,4.88520780345907e-11,0,0
"44",44,2.3292562801249,0,2.62766946070015e-11,0,0
"45",45,2.28916680885807,0,1.41337831930245e-11,0,0
"46",46,2.24976732852104,0,7.60231948253473e-12,0,0
"47",47,2.2110459634899,0.413984036054858,4.08915721468339e-12,0,0
"48",48,2.17299104253539,0.845141528251677,2.19948750704464e-12,0,0
"49",49,2.13559109530497,1.22413004205531,1.18306659286027e-12,0,0
"50",50,2.09883484886552,1.55729521699822,6.36351222118395e-13,0,0
"51",51,2.06271122430546,1.85020753306222,3.42282404334109e-13,0,0
"52",52,2.0272093333954,2.10775731618731,1.84107832663109e-13,0,0
"53",53,1.9923184753063,2.33423807154327,9.90284444035317e-14,0,0
"54",54,1.958028133384,2.53341958079029,5.32657011878907e-14,0,0
"55",55,1.92432797197938,2.7086120227173,2.86507067754815e-14,0,0
"56",56,1.89120783333303,2.86272222157677,1.54107236069059e-14,0,0
"57",57,1.85865773451353,2.99830299145787,8.28916382236282e-15,0,0
"58",58,1.82666786440845,3.11759642580554,4.45859900071e-15,0,0
"59",59,1.7952285807671,3.22257187664356,2.39820390513957e-15,0,0
"60",60,1.76433040729424,3.31495927638606,1.28995273396662e-15,0,0
"61",61,1.73396403079375,3.39627837474037,6.93843443546188e-16,0,0
"62",62,1.70412029836149,3.46786439272418,3.73206483831127e-16,0,0
"63",63,1.67479021462647,3.5308905340222,2.00741364452083e-16,0,0
"64",64,1.64596493903953,3.58638773972254,1.07975335766991e-16,0,0
"65",65,1.6176357832086,3.6352620249639,5.8078080548154e-17,0,0
"66",66,1.58979420827995,3.67830969436727,3.12392030661232e-17,0,0
"67",67,1.5624318223644,3.71623069660167,1.68030313501382e-17,0,0
"68",68,1.53554037800788,3.74964034640701,9.03806226926148e-18,0,0
"69",69,1.50911176970553,3.7790796143171,4.86141862625141e-18,0,0
"70",70,1.48313803145858,3.80502415970327,2.61487367043725e-18,0,0
"71",71,1.45761133437323,3.8278922611698,1.40649568326074e-18,0,0
"72",72,1.43252398430095,3.84805177940145,7.56529896413811e-19,0,0
"73",73,1.40786841951931,3.86582627096309,4.06924451300851e-19,0,0
"74",74,1.38363720845276,3.88150035699563,2.18877680646113e-19,0,0
"75",75,1.35982304743266,3.89532443798774,1.17730549078267e-19,0,0
"76",76,1.33641875849581,3.90751883460934,6.33252424155581e-20,0,0
"77",77,1.31341728722091,3.9182774247768,3.40615614076794e-20,0,0
"78",78,1.29081170060226,3.92777083851131,1.83211294781253e-20,0,0
"79",79,1.26859518496003,3.93614926460188,9.85462120590149e-21,0,0
"80",80,1.24676104388648,3.9435449164635,5.30063166835608e-21,0,0
"81",81,1.22530269622763,3.95007419877344,2.85111883009299e-21,0,0
"82",82,1.20421367409953,3.95583961137487,1.53356790131993e-21,0,0
"83",83,1.18348762093875,3.96093142246969,8.24879862296765e-22,0,0
"84",84,1.16311828958646,3.96542913920287,4.43688725251156e-22,0,0
"85",85,1.14309954040538,3.9694028003033,2.38652552829774e-22,0,0
"86",86,1.1234253394292,3.97291411242996,1.28367113543235e-22,0,0
"87",87,1.10408975654389,3.97601744922667,6.90464679469621e-23,0,0
"88",88,1.08508696370025,3.97876072976729,3.71389104604676e-23,0,0
"89",89,1.06641123315723,3.98118619103678,1.99763827347423e-23,0,0
"90",90,1.04805693575549,3.98333106730615,1.07449535330252e-23,0,0
"91",91,1.03001853922073,3.98522818769173,5.77952615145271e-24,0,0
"92",92,1.01229060649614,3.98690650181263,3.1087079560335e-24,0,0
"93",93,0.994867794103583,3.9883915422528,1.67212067263972e-24,0,0
"94",94,0.977744850533,3.98970583147437,8.99405020803759e-25,0,0
"95",95,0.960916614659519,3.9908692398983,4.83774529364546e-25,0,0
"96",96,0.944378014187809,3.99189930105203,2.60214019099803e-25,0,0
"97",97,0.92812406412321,3.99281148896696,1.399646563142e-25,0,0
"98",98,0.912149865269179,3.99361946237904,7.52845872214077e-26,0,0
"99",99,0.896450602750593,3.99433527973363,4.04942877891575e-26,0,0
"100",100,0.88102154456247,3.99496958851021,2.17811826307633e-26,0,0
"101",101,0.865858040143671,3.9955317919568,1.17157244316739e-26,0,0
"102",102,0.850955518975143,3.99603019594978,6.30168716206709e-27,0,0
"103",103,0.836309489202296,3.99647213836606,3.38956940479075e-27,0,0
"104",104,0.821915536281087,3.99686410306627,1.82319122711335e-27,0,0
"105",105,0.807769321647405,3.99721182033372,9.80663280098337e-28,0,0
"106",106,0.793866581409363,3.99752035539169,5.27481952870017e-28,0,0
"107",107,0.780203125062088,3.99779418642527,2.83723492303766e-28,0,0
"108",108,0.766774834224642,3.99803727336283,1.52609998592467e-28,0,0
"109",109,0.753577661398677,3.99825311852042,8.20862998734623e-29,0,0
"110",110,0.740607628748451,3.9984448200801,4.41528123259452e-29,0,0
"111",111,0.727860826901851,3.99861511925623,2.37490402088447e-29,0,0
"112",112,0.715333413772041,3.99876644190135,1.27742012598797e-29,0,0
"113",113,0.703021613399402,3.99890093521299,6.87102368739686e-30,0,0
"114",114,0.690921714813395,3.9990205001235,3.69580575351083e-30,0,0
"115",115,0.679030070914016,3.99912681988531,1.98791050491322e-30,0,0
"116",116,0.667343097372505,3.9992213853026,1.06926295349541e-30,0,0
"117",117,0.655857271550971,3.99930551700672,5.7513819706267e-31,0,0
"118",118,0.644569131440613,3.99938038512481,3.09356968404422e-31,0,0
"119",119,0.633475274618218,3.99944702664992,1.66397805586796e-31,0,0
"120",120,0.622572357220615,3.99950636078365,8.95025246947219e-32,0,0
"121",121,0.611857092936782,3.99955920249057,4.81418724152032e-32,0,0
"122",122,0.601326252017304,3.99960627447469,2.58946871895154e-32,0,0
"123",123,0.590976660300868,3.99964821776388,1.39283079573594e-32,0,0
"124",124,0.580805198257531,3.99968560106543,7.49179787866247e-33,0,0
"125",125,0.570808800048435,3.99971892903715,4.0297095402084e-33,0,0
"126",126,0.560984452601719,3.99974864960099,2.16751162290375e-33,0,0
"127",127,0.551329194704333,3.99977516041114,1.16586731339944e-33,0,0
"128",128,0.541840116109479,3.99979881457563,6.27100024788926e-34,0,0
"129",129,0.53251435665942,3.99981992571835,3.37306344015786e-34,0,0
"130",130,0.52334910542338,3.99983877245846,1.81431295193444e-34,0,0
"131",131,0.514341599850286,3.99985560237513,9.7588780820648e-35,0,0
"132",132,0.505489124936094,3.99987063551716,5.249133084734e-35,0,0
"133",133,0.496789012405441,3.99988406751063,2.82341862553726e-35,0,0
"134",134,0.488238639907385,3.99989607231095,1.51866843654902e-35,0,0
"135",135,0.479835430224992,3.99990680464061,8.16865695830481e-36,0,0
"136",136,0.471576850498515,3.99991640214892,4.39378042610079e-36,0,0
"137",137,0.463460411461954,3.99992498732583,2.36333910596642e-36,0,0
"138",138,0.455483666692754,3.99993266919818,1.2711995566758e-36,0,0
"139",139,0.447644211874408,3.99993954483347,6.83756431234597e-37,0,0
"140",140,0.439939684071766,3.99994570067323,3.67780852974216e-37,0,0
"141",141,0.432367761018806,3.9999512137155,1.9782301070311e-37,0,0
"142",142,0.424926160418663,3.99995615256388,1.06405603356372e-37,0,0
"143",143,0.417612639255713,3.99996057835819,5.72337484167892e-38,0,0
"144",144,0.410424993119494,3.99996454560048,3.0785051299088e-38,0,0
"145",145,0.403361055540256,3.99996810288815,1.65587509066499e-38,0,0
"146",146,0.396418697335958,3.99997129356492,8.90666800989223e-39,0,0
"147",147,0.389595825970498,3.99997415629885,4.79074390850217e-39,0,0
"148",148,0.382890384922989,3.9999767255958,2.57685895234444e-39,0,0
"149",149,0.376300353067889,3.99997903225556,1.38604821862702e-39,0,0
