"","t","w","A","a","n","x"
"1",1,4.35162362916695,0,10,0,0
"2",2,3.78732564198483,0,0.133857018485697,0,0
"3",3,3.29620315100222,0,0.00179177013978803,0,0
"4",4,2.86876710368716,0,2.39841008723726e-05,0,0
"5",5,2.49675894299638,0,3.210440233836e-07,0,0
"6",6,2.17299104253539,0,4.29739957727811e-09,0,0
"7",7,1.89120783333303,0,5.75237094656143e-11,0,0
"8",8,1.64596493903953,0,7.69995224130461e-13,0,0
"9",9,1.43252398430095,0,1.0306926495033e-14,0,0
"10",10,1.24676104388648,0,1.37965445037635e-16,0,0
"11",11,1.08508696370025,0,1.84676431267901e-18,0,0
"12",12,0.944378014187809,0,2.47202364741e-20,0,0
"13",13,0.821915536281087,0,3.30897715068441e-22,0,0
"14",14,0.715333413772041,0,4.42929815627912e-24,0,0
"15",15,0.622572357220615,0,5.92892645183719e-26,0,0
"16",16,0.541840116109479,0,7.93628417663909e-28,0,0
"17",17,0.471576850498515,0,1.06232733774012e-29,0,0
"18",18,0.410424993119494,0,1.42199970085741e-31,0,0
"19",19,0.357203019611895,0,1.90344640244326e-33,0,0
"20",20,0.310882620110582,0,2.54789660278382e-35,0,0
"21",21,0.270568831114108,0,3.41053842658478e-37,0,0
"22",22,0.235482743758447,0,4.56524505213539e-39,0,0
"23",23,0.204946454400065,0,6.11090091335425e-41,0,0
"24",24,0.178369966736262,0,8.17986976523123e-43,0,0
"25",25,0.155239792396648,0,1.09493297837515e-44,0,0
"26",26,0.135109029756045,0,1.46564463926962e-46,0,0
"27",27,0.117588729280046,0,1.96186821572176e-48,0,0
"28",28,0.102340378571752,0,2.6260983001837e-50,0,0
"29",29,0.0890693619221458,0,3.51521688712947e-52,0,0
"30",30,0.0775192679950466,0,4.70536451841724e-54,0,0
"31",31,0.0674669356645941,0,6.2984606532372e-56,0,0
"32",32,0.0587181422851068,0,8.43093164091807e-58,0,0
"33",33,0.0511038510857316,0,1.12853937251002e-59,0,0
"34",34,0.0444769451852198,0,1.51062915647911e-61,0,0
"35",35,0.0387093851242331,0,2.02208314923857e-63,0,0
"36",36,0.0336897349954273,0,2.70670021487244e-65,0,0
"37",37,0.0293210093732949,0,3.6231082069742e-67,0,0
"38",38,0.0255187994439711,0,4.84978462236627e-69,0,0
"39",39,0.0222096421296715,0,6.49177709847731e-71,0,0
"40",40,0.019329600697364,0,8.68969927075902e-73,0,0
"41",41,0.0168230294274023,0,1.16317723592114e-74,0,0
"42",42,0.0146414984740909,0,1.55699436770838e-76,0,0
"43",43,0.0127428581452532,0,2.08414623860467e-78,0,0
"44",44,0.0110904245216013,0,2.78977601587801e-80,0,0
"45",45,0.00965227068113855,0,3.73431099728337e-82,0,0
"46",46,0.00840060983423158,0,4.99863736194703e-84,0,0
"47",47,0.00731125845081088,0.413984036054858,6.69102693761439e-86,0,0
"48",48,0.00636316900669904,0.845141528251677,8.95640916476547e-88,0,0
"49",49,0.00553802332118687,1.22413004205531,1.19887822713348e-89,0,0
"50",50,0.00481987862867089,1.55729521699822,1.60478265011506e-91,0,0
"51",51,0.00419485954604821,1.85020753306222,2.14811420861977e-93,0,0
"52",52,0.00365088998432399,2.10775731618731,2.87540163332606e-95,0,0
"53",53,0.00317745982465464,2.33423807154327,3.8489268958593e-97,0,0
"54",54,0.00276542185073917,2.53341958079029,5.15205878649135e-99,0,0
"55",55,0.00240681501405823,2.7086120227173,6.8963922822277e-101,0,0
"56",56,0.00209471061724192,2.86272222157677,9.23130509206773e-103,0,0
"57",57,0.00182307844365137,2.99830299145787,1.23567497635602e-104,0,0
"58",58,0.00158667024664364,3.11759642580554,1.65403768152401e-106,0,0
"59",59,0.00138091834739812,3.22257187664356,2.21404552511799e-108,0,0
"60",60,0.00120184738209757,3.31495927638606,2.96365532783894e-110,0,0
"61",61,0.00104599749331765,3.39627837474037,3.96706066003771e-112,0,0
"62",62,0.000910357481594095,3.46786439272418,5.3101891210455e-114,0,0
"63",63,0.000792306625578756,3.5308905340222,7.10806083338335e-116,0,0
"64",64,0.00068956404668281,3.58638773972254,9.51463830371655e-118,0,0
"65",65,0.000600144639873779,3.6352620249639,1.27360111530531e-119,0,0
"66",66,0.000522320719158526,3.67830969436727,1.70480448034827e-121,0,0
"67",67,0.000454588636698744,3.71623069660167,2.28200044840478e-123,0,0
"68",68,0.000395639730601809,3.74964034640701,3.05461776206487e-125,0,0
"69",69,0.000344335040064816,3.7790796143171,4.08882026243456e-127,0,0
"70",70,0.00029968329933924,3.80502415970327,5.47317289453396e-129,0,0
"71",71,0.00026082178533427,3.8278922611698,7.32622605319049e-131,0,0
"72",72,0.000226999648812424,3.84805177940145,9.80666776232315e-133,0,0
"73",73,0.000197563407116949,3.86582627096309,1.31269130794438e-134,0,0
"74",74,0.000171944318133769,3.88150035699563,1.75712944673525e-136,0,0
"75",75,0.000149647391538382,3.89532443798774,2.35204108833403e-138,0,0
"76",76,0.000130241825012324,3.90751883460934,3.14837207440247e-140,0,0
"77",77,0.000113352680645892,3.9182774247768,4.21431698963144e-142,0,0
"78",78,9.86536407056154e-05,3.92777083851131,5.64115907185683e-144,0,0
"79",79,8.58607027995805e-05,3.93614926460188,7.55108734162298e-146,0,0
"80",80,7.47266926239073e-05,3.9435449164635,1.01076603787474e-147,0,0
