"","t","w","A","a","n","x"
"1",1,4.82936838620525,0,10,0,0
"2",2,4.66455980193574,0,0.948517463551336,0,0
"3",3,4.50537552860645,0,0.0899685378661859,0,0
"4",4,4.35162362916695,0,0.0085336729336257,0,0
"5",5,4.20311871667253,0,0.000809433780577933,0,0
"6",6,4.05968173075317,0,7.6776207646655e-05,0,0
"7",7,3.92113972171088,0,7.28235737380958e-06,0,0
"8",8,3.78732564198483,0,6.90744314488023e-07,0,0
"9",9,3.65807814473321,0,6.55183045140686e-08,0,0
"10",10,3.53324138928858,0,6.21452560138683e-09,0,0
"11",11,3.41266485325244,0,5.89458606060228e-10,0,0
"12",12,3.29620315100222,0,5.59111781888753e-11,0,0
"13",13,3.18371585839205,0,5.30327289198788e-12,0,0
"14",14,3.07506734343577,0,5.0302469520289e-13,0,0
"15",15,2.97012660276817,0,4.77127707997529e-14,0,0
"16",16,2.86876710368716,0,4.52563963379878e-15,0,0
"17",17,2.77086663158648,0,4.29264822639822e-16,0,0
"18",18,2.67630714259495,0,4.07165180762138e-17,0,0
"19",19,2.58497462124467,0,3.86203284502924e-18,0,0
"20",20,2.49675894299638,0,3.66320559831908e-19,0,0
"21",21,2.41155374145639,0,3.47461448258467e-20,0,0
"22",22,2.3292562801249,0,3.29573251583995e-21,0,0
"23",23,2.24976732852104,0,3.12605984646817e-22,0,0
"24",24,2.17299104253539,0,2.96512235648166e-23,0,0
"25",25,2.09883484886552,0,2.81247033668935e-24,0,0
"26",26,2.0272093333954,0,2.66767723006995e-25,0,0
"27",27,1.958028133384,0,2.5303384398396e-26,0,0
"28",28,1.89120783333303,0,2.4000701988831e-27,0,0
"29",29,1.82666786440845,0,2.27650849738975e-28,0,0
"30",30,1.76433040729424,0,2.15930806569719e-29,0,0
"31",31,1.70412029836149,0,2.04814140950104e-30,0,0
"32",32,1.64596493903953,0,1.94269789473438e-31,0,0
"33",33,1.58979420827995,0,1.84268287955998e-32,0,0
"34",34,1.53554037800788,0,1.7478168910497e-33,0,0
"35",35,1.48313803145858,0,1.65783484425064e-34,0,0
"36",36,1.43252398430095,0,1.57248530145564e-35,0,0
"37",37,1.38363720845276,0,1.49152976960846e-36,0,0
"38",38,1.33641875849581,0,1.41474203388033e-37,0,0
"39",39,1.29081170060226,0,1.34190752555563e-38,0,0
"40",40,1.24676104388648,0,1.27282272246047e-39,0,0
"41",41,1.20421367409953,0,1.20729458025871e-40,0,0
"42",42,1.16311828958646,0,1.14513999302627e-41,0,0
"43",43,1.1234253394292,0,1.08618528159647e-42,0,0
"44",44,1.08508696370025,0,1.03026570824668e-43,0,0
"45",45,1.04805693575549,0,9.77225016370058e-45,0,0
"46",46,1.01229060649614,0,9.2691499384624e-46,0,0
"47",47,0.977744850533,0.413984036054858,8.79195058890738e-47,0,0
"48",48,0.944378014187809,0.845141528251677,8.3393186722591e-48,0,0
"49",49,0.912149865269179,1.22413004205531,7.90998939475749e-49,0,0
"50",50,0.88102154456247,1.55729521699822,7.50276307743334e-50,0,0
"51",51,0.850955518975143,1.85020753306222,7.11650180383368e-51,0,0
"52",52,0.821915536281087,2.10775731618731,6.75012624033083e-52,0,0
"53",53,0.793866581409363,2.33423807154327,6.40261262012991e-53,0,0
"54",54,0.766774834224642,2.53341958079029,6.0729898825474e-54,0,0
"55",55,0.740607628748451,2.7086120227173,5.76033695956678e-55,0,0
"56",56,0.715333413772041,2.86272222157677,5.46378020208929e-56,0,0
"57",57,0.690921714813395,2.99830299145787,5.18249093868774e-57,0,0
"58",58,0.667343097372505,3.11759642580554,4.91568316004188e-58,0,0
"59",59,0.644569131440613,3.22257187664356,4.66261132258494e-59,0,0
"60",60,0.622572357220615,3.31495927638606,4.422568265224e-60,0,0
"61",61,0.601326252017304,3.39627837474037,4.1948832333129e-61,0,0
"62",62,0.580805198257531,3.46786439272418,3.97892000435598e-62,0,0
"63",63,0.560984452601719,3.5308905340222,3.7740751102054e-63,0,0
