"","t","w","A","a","n","x"
"1",1,0.972604477116348,0,10,0,0
"2",2,0.945959468906765,0,5.3788284273999,0,0
"3",3,0.920044414629323,0,2.89317952514053,0,0
"4",4,0.89483931681437,0,1.55619162753972,0,0
"5",5,0.87032472583339,0,0.837048776469239,0,0
"6",6,0.846481724890614,0,0.450234175399305,0,0
"7",7,0.82329191542578,0,0.242173238162473,0,0
"8",8,0.800737402916808,0,0.13026082977838,0,0
"9",9,0.778800783071405,0,0.0700650654188649,0,0
"10",10,0.757465128396966,0,0.0376867965642625,0,0
"11",11,0.736713975138399,0,0.0202710812697492,0,0
"12",12,0.716531310573789,0,0.0109034668187861,0,0
"13",13,0.696901560658112,0,0.0058647877282098,0,0
"14",14,0.67780957800545,0,0.0031545686953161,0,0
"15",15,0.659240630200444,0,0.00169678837745521,0,0
"16",16,0.641180388429955,0,0.000912673355993781,0,0
"17",17,0.623614916426173,0,0.000490911339214982,0,0
"18",18,0.606530659712633,0,0.00026405278667025,0,0
"19",19,0.58991443514484,0,0.00014202946352761,0,0
"20",20,0.573753420737433,0,7.63952115950668e-05,0,0
"21",21,0.558035145770047,0,4.10916735844776e-05,0,0
"22",22,0.542747481164222,0,2.21025062005626e-05,0,0
"23",23,0.527878630123943,0,1.18885588668369e-05,0,0
"24",24,0.513417119032592,0,6.39465183937593e-06,0,0
"25",25,0.499351788599276,0,3.43957350969603e-06,0,0
"26",26,0.485671785247712,0,1.85008757720847e-06,0,0
"27",27,0.472366552741015,0,9.95130365346831e-07,0,0
"28",28,0.459425824035927,0,5.35263549809639e-07,0,0
"29",29,0.44683961336021,0,2.87909079786707e-07,0,0
"30",30,0.434598208507078,0,1.54861354286328e-07,0,0
"31",31,0.422692163340729,0,8.32972654740951e-08,0,0
"32",32,0.411112290507187,0,4.48041699456739e-08,0,0
"33",33,0.399849654344847,0,2.40993942969847e-08,0,0
"34",34,0.388895563989223,0,1.2962650712774e-08,0,0
"35",35,0.378241566666606,0,6.97238741483247e-09,0,0
"36",36,0.367879441171442,0,3.75032756337462e-09,0,0
"37",37,0.357801191522405,0,2.01723685099408e-09,0,0
"38",38,0.347999040792255,0,1.08503709189256e-09,0,0
"39",39,0.338465425106742,0,5.83622835465503e-10,0,0
"40",40,0.329192987807906,0,3.13920709828158e-10,0,0
"41",41,0.320174573777276,0,1.68852563797325e-10,0,0
"42",42,0.311403223914598,0,9.0822897019241e-11,0,0
"43",43,0.302872169767802,0,4.88520780345907e-11,0,0
"44",44,0.294574828310107,0,2.62766946070015e-11,0,0
"45",45,0.28650479686019,0,1.41337831930245e-11,0,0
"46",46,0.278655848141531,0,7.60231948253473e-12,0,0
"47",47,0.271021925477106,0.413984036054858,4.08915721468339e-12,0,0
"48",48,0.263597138115727,0.845141528251677,2.19948750704464e-12,0,0
"49",49,0.256375756686412,1.22413004205531,1.18306659286027e-12,0,0
"50",50,0.249352208777296,1.55729521699822,6.36351222118395e-13,0,0
"51",51,0.242521074635649,1.85020753306222,3.42282404334109e-13,0,0
"52",52,0.2358770829857,2.10775731618731,1.84107832663109e-13,0,0
"53",53,0.229415106961036,2.33423807154327,9.90284444035317e-14,0,0
"54",54,0.22313016014843,2.53341958079029,5.32657011878907e-14,0,0
"55",55,0.217017392740051,2.7086120227173,2.86507067754815e-14,0,0
"56",56,0.21107208779109,2.86272222157677,1.54107236069059e-14,0,0
"57",57,0.205289657579909,2.99830299145787,8.28916382236282e-15,0,0
"58",58,0.199665640067902,3.11759642580554,4.45859900071e-15,0,0
"59",59,0.194195695456343,3.22257187664356,2.39820390513957e-15,0,0
"60",60,0.188875602837562,3.31495927638606,1.28995273396662e-15,0,0
"61",61,0.183701256937862,3.39627837474037,6.93843443546188e-16,0,0
"62",62,0.178668664949665,3.46786439272418,3.73206483831127e-16,0,0
"63",63,0.173773943450445,3.5308905340222,2.00741364452083e-16,0,0
"64",64,0.169013315406066,3.58638773972254,1.07975335766991e-16,0,0
"65",65,0.164383107256217,3.6352620249639,5.8078080548154e-17,0,0
"66",66,0.159879746079694,3.67830969436727,3.12392030661232e-17,0,0
"67",67,0.155499756837335,3.71623069660167,1.68030313501382e-17,0,0
"68",68,0.151239759690496,3.74964034640701,9.03806226926148e-18,0,0
"69",69,0.147096467392977,3.7790796143171,4.86141862625141e-18,0,0
"70",70,0.143066682754408,3.80502415970327,2.61487367043725e-18,0,0
"71",71,0.139147296173122,3.8278922611698,1.40649568326074e-18,0,0
"72",72,0.135335283236613,3.84805177940145,7.56529896413811e-19,0,0
"73",73,0.131627702387739,3.86582627096309,4.06924451300851e-19,0,0
"74",74,0.128021692654853,3.88150035699563,2.18877680646113e-19,0,0
"75",75,0.124514471444123,3.89532443798774,1.17730549078267e-19,0,0
"76",76,0.12110333239233,3.90751883460934,6.33252424155581e-20,0,0
"77",77,0.117785643278489,3.9182774247768,3.40615614076794e-20,0,0
"78",78,0.114558843992688,3.92777083851131,1.83211294781253e-20,0,0
"79",79,0.111420444560561,3.93614926460188,9.85462120590149e-21,0,0
"80",80,0.108368023221896,3.9435449164635,5.30063166835608e-21,0,0
"81",81,0.105399224561864,3.95007419877344,2.85111883009299e-21,0,0
"82",82,0.102511757693461,3.95583961137487,1.53356790131993e-21,0,0
"83",83,0.0997033944897261,3.96093142246969,8.24879862296765e-22,0,0
"84",84,0.0969719678644051,3.96542913920287,4.43688725251156e-22,0,0
"85",85,0.094315370099703,3.9694028003033,2.38652552829774e-22,0,0
"86",86,0.0917315512198565,3.97291411242996,1.28367113543235e-22,0,0
"87",87,0.0892185174092601,3.97601744922667,6.90464679469621e-23,0,0
"88",88,0.0867743294739292,3.97876072976729,3.71389104604676e-23,0,0
"89",89,0.0843971013451127,3.98118619103678,1.99763827347423e-23,0,0
"90",90,0.0820849986238988,3.98333106730615,1.07449535330252e-23,0,0
"91",91,0.0798362371656933,3.98522818769173,5.77952615145271e-24,0,0
"92",92,0.0776490817034759,3.98690650181263,3.1087079560335e-24,0,0
