"","t","w","A","a","n","x"
"1",1,0.972604477116348,0,10,0,0
"2",2,0.945959468906765,0,0.359724199241831,0,0
"3",3,0.920044414629323,0,0.0129401499520177,0,0
"4",4,0.89483931681437,0,0.000465488507955878,0,0
"5",5,0.87032472583339,0,1.67447480780703e-05,0,0
"6",6,0.846481724890614,0,6.02349109389002e-07,0,0
"7",7,0.82329191542578,0,2.16679551038989e-08,0,0
"8",8,0.800737402916808,0,7.79448779895798e-10,0,0
"9",9,0.778800783071405,0,2.80386588198038e-11,0,0
"10",10,0.757465128396966,0,1.00861840917688e-12,0,0
"11",11,0.736713975138399,0,3.62824449581724e-14,0,0
"12",12,0.716531310573789,0,1.30516734591144e-15,0,0
"13",13,0.696901560658112,0,4.69500278384578e-17,0,0
"14",14,0.67780957800545,0,1.68890611685709e-18,0,0
"15",15,0.659240630200444,0,6.07540400481048e-20,0,0
"16",16,0.641180388429955,0,2.18546984070107e-21,0,0
"17",17,0.623614916426173,0,7.86166388413363e-23,0,0
"18",18,0.606530659712633,0,2.8280307454284e-24,0,0
"19",19,0.58991443514484,0,1.01731109533051e-25,0,0
"20",20,0.573753420737433,0,3.65951419147597e-27,0,0
"21",21,0.558035145770047,0,1.31641581214281e-28,0,0
"22",22,0.542747481164222,0,4.73546623892358e-30,0,0
"23",23,0.527878630123943,0,1.70346180083351e-31,0,0
"24",24,0.513417119032592,0,6.12776432243882e-33,0,0
"25",25,0.499351788599276,0,2.20430511403197e-34,0,0
"26",26,0.485671785247712,0,7.92941892029823e-36,0,0
"27",27,0.472366552741015,0,2.85240387155731e-37,0,0
"28",28,0.459425824035927,0,1.02607869861025e-38,0,0
"29",29,0.44683961336021,0,3.69105338216673e-40,0,0
"30",30,0.434598208507078,0,1.32776122225878e-41,0,0
"31",31,0.422692163340729,0,4.77627842461394e-43,0,0
"32",32,0.411112290507187,0,1.71814293165028e-44,0,0
"33",33,0.399849654344847,0,6.18057590270911e-46,0,0
"34",34,0.388895563989223,0,2.22330271745539e-47,0,0
"35",35,0.378241566666606,0,7.99775789708828e-49,0,0
"36",36,0.367879441171442,0,2.87698705526011e-50,0,0
"37",37,0.357801191522405,0,1.03492186468256e-51,0,0
"38",38,0.347999040792255,0,3.72286439050796e-53,0,0
"39",39,0.338465425106742,0,1.3392044117614e-54,0,0
"40",40,0.329192987807906,0,4.81744234641999e-56,0,0
"41",41,0.320174573777276,0,1.73295059045962e-57,0,0
"42",42,0.311403223914598,0,6.23384263478744e-59,0,0
"43",43,0.302872169767802,0,2.2424640499985e-60,0,0
"44",44,0.294574828310107,0,8.06668584714304e-62,0,0
"45",45,0.28650479686019,0,2.90178210689894e-63,0,0
"46",46,0.278655848141531,0,1.0438412447785e-64,0,0
"47",47,0.271021925477106,0.413984036054858,3.75494955913541e-66,0,0
"48",48,0.263597138115727,0.845141528251677,1.35074622335345e-67,0,0
"49",49,0.256375756686412,1.22413004205531,4.85896103574748e-69,0,0
"50",50,0.249352208777296,1.55729521699822,1.74788586773152e-70,0,0
"51",51,0.242521074635649,1.85020753306222,6.28756844135835e-72,0,0
"52",52,0.2358770829857,2.10775731618731,2.26179052274584e-73,0,0
"53",53,0.229415106961036,2.33423807154327,8.1362078464751e-75,0,0
"54",54,0.22313016014843,2.53341958079029,2.92679085243836e-76,0,0
"55",55,0.217017392740051,2.7086120227173,1.0528374957417e-77,0,0
"56",56,0.21107208779109,2.86272222157677,3.7873112508746e-79,0,0
"57",57,0.205289657579909,2.99830299145787,1.36238750700044e-80,0,0
"58",58,0.199665640067902,3.11759642580554,4.90083755012809e-82,0,0
"59",59,0.194195695456343,3.22257187664356,1.76294986333412e-83,0,0
"60",60,0.188875602837562,3.31495927638606,6.34175727891363e-85,0,0
"61",61,0.183701256937862,3.39627837474037,2.28128355894326e-86,0,0
"62",62,0.178668664949665,3.46786439272418,8.20632901484419e-88,0,0
"63",63,0.173773943450445,3.5308905340222,2.95201513357983e-89,0,0
"64",64,0.169013315406066,3.58638773972254,1.06191128007677e-90,0,0
"65",65,0.164383107256217,3.6352620249639,3.81995184891485e-92,0,0
"66",66,0.159879746079694,3.67830969436727,1.37412911999325e-93,0,0
"67",67,0.155499756837335,3.71623069660167,4.94307497344453e-95,0,0
"68",68,0.151239759690496,3.74964034640701,1.77814368661467e-96,0,0
