"","t","w","A","a","n","x"
"1",1,4.91394362310215,0,10,0,0
"2",2,4.82936838620525,0,0.359724199241831,0,0
"3",3,4.74624879700088,0,0.0129401499520177,0,0
"4",4,4.66455980193574,0,0.000465488507955878,0,0
"5",5,4.58427677866014,0,1.67447480780703e-05,0,0
"6",6,4.50537552860645,0,6.02349109389002e-07,0,0
"7",7,4.42783226969523,0,2.16679551038989e-08,0,0
"8",8,4.35162362916695,0,7.79448779895798e-10,0,0
"9",9,4.27672663653711,0,2.80386588198038e-11,0,0
"10",10,4.20311871667253,0,1.00861840917688e-12,0,0
"11",11,4.13077768298685,0,3.62824449581724e-14,0,0
"12",12,4.05968173075317,0,1.30516734591144e-15,0,0
"13",13,3.98980943053177,0,4.69500278384578e-17,0,0
"14",14,3.92113972171088,0,1.68890611685709e-18,0,0
"15",15,3.85365190615874,0,6.07540400481048e-20,0,0
"16",16,3.78732564198483,0,2.18546984070107e-21,0,0
"17",17,3.72214093740852,0,7.86166388413363e-23,0,0
"18",18,3.65807814473321,0,2.8280307454284e-24,0,0
"19",19,3.59511795442422,0,1.01731109533051e-25,0,0
"20",20,3.53324138928858,0,3.65951419147597e-27,0,0
"21",21,3.47242979875504,0,1.31641581214281e-28,0,0
"22",22,3.41266485325244,0,4.73546623892358e-30,0,0
"23",23,3.35392853868493,0,1.70346180083351e-31,0,0
"24",24,3.29620315100222,0,6.12776432243882e-33,0,0
"25",25,3.23947129086331,0,2.20430511403197e-34,0,0
"26",26,3.18371585839205,0,7.92941892029823e-36,0,0
"27",27,3.12892004802296,0,2.85240387155731e-37,0,0
"28",28,3.07506734343577,0,1.02607869861025e-38,0,0
"29",29,3.02214151257717,0,3.69105338216673e-40,0,0
"30",30,2.97012660276817,0,1.32776122225878e-41,0,0
"31",31,2.91900693589574,0,4.77627842461394e-43,0,0
"32",32,2.86876710368716,0,1.71814293165028e-44,0,0
"33",33,2.81939196306575,0,6.18057590270911e-46,0,0
"34",34,2.77086663158648,0,2.22330271745539e-47,0,0
"35",35,2.72317648295018,0,7.99775789708828e-49,0,0
"36",36,2.67630714259495,0,2.87698705526011e-50,0,0
"37",37,2.63024448336344,0,1.03492186468256e-51,0,0
"38",38,2.58497462124467,0,3.72286439050796e-53,0,0
"39",39,2.54048391118923,0,1.3392044117614e-54,0,0
"40",40,2.49675894299638,0,4.81744234641999e-56,0,0
"41",41,2.45378653727206,0,1.73295059045962e-57,0,0
"42",42,2.41155374145639,0,6.23384263478744e-59,0,0
"43",43,2.37004782591955,0,2.2424640499985e-60,0,0
"44",44,2.3292562801249,0,8.06668584714304e-62,0,0
"45",45,2.28916680885807,0,2.90178210689894e-63,0,0
"46",46,2.24976732852104,0,1.0438412447785e-64,0,0
"47",47,2.2110459634899,0.413984036054858,3.75494955913541e-66,0,0
"48",48,2.17299104253539,0.845141528251677,1.35074622335345e-67,0,0
"49",49,2.13559109530497,1.22413004205531,4.85896103574748e-69,0,0
"50",50,2.09883484886552,1.55729521699822,1.74788586773152e-70,0,0
"51",51,2.06271122430546,1.85020753306222,6.28756844135835e-72,0,0
"52",52,2.0272093333954,2.10775731618731,2.26179052274584e-73,0,0
"53",53,1.9923184753063,2.33423807154327,8.1362078464751e-75,0,0
"54",54,1.958028133384,2.53341958079029,2.92679085243836e-76,0,0
"55",55,1.92432797197938,2.7086120227173,1.0528374957417e-77,0,0
"56",56,1.89120783333303,2.86272222157677,3.7873112508746e-79,0,0
"57",57,1.85865773451353,2.99830299145787,1.36238750700044e-80,0,0
"58",58,1.82666786440845,3.11759642580554,4.90083755012809e-82,0,0
"59",59,1.7952285807671,3.22257187664356,1.76294986333412e-83,0,0
"60",60,1.76433040729424,3.31495927638606,6.34175727891363e-85,0,0
"61",61,1.73396403079375,3.39627837474037,2.28128355894326e-86,0,0
"62",62,1.70412029836149,3.46786439272418,8.20632901484419e-88,0,0
"63",63,1.67479021462647,3.5308905340222,2.95201513357983e-89,0,0
"64",64,1.64596493903953,3.58638773972254,1.06191128007677e-90,0,0
"65",65,1.6176357832086,3.6352620249639,3.81995184891485e-92,0,0
"66",66,1.58979420827995,3.67830969436727,1.37412911999325e-93,0,0
"67",67,1.5624318223644,3.71623069660167,4.94307497344453e-95,0,0
"68",68,1.53554037800788,3.74964034640701,1.77814368661467e-96,0,0
"69",69,1.50911176970553,3.7790796143171,6.39641313804379e-98,0,0
"70",70,1.48313803145858,3.80502415970327,2.30094459410273e-99,0,0
"71",71,1.45761133437323,3.8278922611698,8.27705451613426e-101,0,0
"72",72,1.43252398430095,3.84805177940145,2.97745680789738e-102,0,0
"73",73,1.40786841951931,3.86582627096309,1.07106326599802e-103,0,0
"74",74,1.38363720845276,3.88150035699563,3.85287375698479e-105,0,0
"75",75,1.35982304743266,3.89532443798774,1.38597192701122e-106,0,0
"76",76,1.33641875849581,3.90751883460934,4.98567641615769e-108,0,0
"77",77,1.31341728722091,3.9182774247768,1.79346845648121e-109,0,0
"78",78,1.29081170060226,3.92777083851131,6.45154004373185e-111,0,0
"79",79,1.26859518496003,3.93614926460188,2.32077507610805e-112,0,0
"80",80,1.24676104388648,3.9435449164635,8.34838955873368e-114,0,0
"81",81,1.22530269622763,3.95007419877344,3.00311774897434e-115,0,0
"82",82,1.20421367409953,3.95583961137487,1.08029412747872e-116,0,0
"83",83,1.18348762093875,3.96093142246969,3.88607939952937e-118,0,0
"84",84,1.16311828958646,3.96542913920287,1.39791680018588e-119,0,0
"85",85,1.14309954040538,3.9694028003033,5.02864501553568e-121,0,0
"86",86,1.1234253394292,3.97291411242996,1.808925301485e-122,0,0
"87",87,1.10408975654389,3.97601744922667,6.50714205564979e-124,0,0
"88",88,1.08508696370025,3.97876072976729,2.34077646532146e-125,0,0
"89",89,1.06641123315723,3.98118619103678,8.42033939591887e-127,0,0
"90",90,1.04805693575549,3.98333106730615,3.02899984654136e-128,0,0
"91",91,1.03001853922073,3.98522818769173,1.08960454430072e-129,0,0
"92",92,1.01229060649614,3.98690650181263,3.91957122188837e-131,0,0
"93",93,0.994867794103583,3.9883915422528,1.40996461916512e-132,0,0
"94",94,0.977744850533,3.98970583147437,5.07198393588486e-134,0,0
"95",95,0.960916614659519,3.9908692398983,1.82451535990361e-135,0,0
"96",96,0.944378014187809,3.99189930105203,6.56322326845749e-137,0,0
"97",97,0.92812406412321,3.99281148896696,2.36095023469122e-138,0,0
"98",98,0.912149865269179,3.99361946237904,8.49290932624113e-140,0,0
"99",99,0.896450602750593,3.99433527973363,3.05510500661557e-141,0,0
"100",100,0.88102154456247,3.99496958851021,1.0989952021045e-142,0,0
"101",101,0.865858040143671,3.9955317919568,3.95335169047654e-144,0,0
"102",102,0.850955518975143,3.99603019594978,1.42211627117801e-145,0,0
"103",103,0.836309489202296,3.99647213836606,5.1156963687829e-147,0,0
"104",104,0.821915536281087,3.99686410306627,1.84023977982477e-148,0,0
"105",105,0.807769321647405,3.99721182033372,6.6197878121043e-150,0,0
"106",106,0.793866581409363,3.99752035539169,2.38129786986005e-151,0,0
"107",107,0.780203125062088,3.99779418642527,8.56610469391686e-153,0,0
"108",108,0.766774834224642,3.99803727336283,3.08143515164093e-154,0,0
"109",109,0.753577661398677,3.99825311852042,1.10846679243967e-155,0,0
"110",110,0.740607628748451,3.9984448200801,3.9874232929652e-157,0,0
"111",111,0.727860826901851,3.99861511925623,1.43437265110013e-158,0,0
"112",112,0.715333413772041,3.99876644190135,5.15978553331377e-160,0,0
"113",113,0.703021613399402,3.99890093521299,1.85609971923088e-161,0,0
"114",114,0.690921714813395,3.9990205001235,6.67683985213316e-163,0,0
"115",115,0.679030070914016,3.99912681988531,2.40182086927455e-164,0,0
"116",116,0.667343097372505,3.9992213853026,8.63993088922106e-166,0,0
"117",117,0.655857271550971,3.99930551700672,3.10799222062981e-167,0,0
"118",118,0.644569131440613,3.99938038512481,1.1180200128159e-168,0,0
"119",119,0.633475274618218,3.99944702664992,4.02178853846541e-170,0,0
"120",120,0.622572357220615,3.99950636078365,1.44673466151944e-171,0,0
"121",121,0.611857092936782,3.99955920249057,5.20425467630483e-173,0,0
"122",122,0.601326252017304,3.99960627447469,1.87209634608431e-174,0,0
"123",123,0.590976660300868,3.99964821776388,6.73438358998737e-176,0,0
"124",124,0.580805198257531,3.99968560106543,2.42252074429554e-177,0,0
"125",125,0.570808800048435,3.99971892903715,8.71439334888436e-179,0,0
"126",126,0.560984452601719,3.99974864960099,3.13477816930577e-180,0,0
"127",127,0.551329194704333,3.99977516041114,1.12765556675429e-181,0,0
"128",128,0.541840116109479,3.99979881457563,4.0564499577128e-183,0,0
"129",129,0.53251435665942,3.99981992571835,1.4592032128028e-184,0,0
"130",130,0.52334910542338,3.99983877245846,5.24910707256594e-186,0,0
"131",131,0.514341599850286,3.99985560237513,1.88823083841342e-187,0,0
"132",132,0.505489124936094,3.99987063551716,6.79242326331997e-189,0,0
"133",133,0.496789012405441,3.99988406751063,2.44339901930936e-190,0,0
"134",134,0.488238639907385,3.99989607231095,8.78949755649336e-192,0,0
"135",135,0.479835430224992,3.99990680464061,3.16179497024761e-193,0,0
"136",136,0.471576850498515,3.99991640214892,1.13737416383917e-194,0,0
"137",137,0.463460411461954,3.99992498732583,4.09141010325393e-196,0,0
"138",138,0.455483666692754,3.99993266919818,1.47177922316296e-197,0,0
"139",139,0.447644211874408,3.99993954483347,5.29434602513059e-199,0,0
"140",140,0.439939684071766,3.99994570067323,1.90450438439927e-200,0,0
"141",141,0.432367761018806,3.9999512137155,6.85096314630585e-202,0,0
"142",142,0.424926160418663,3.99995615256388,2.46445723184017e-203,0,0
"143",143,0.417612639255713,3.99996057835819,8.86524904289445e-205,0,0
"144",144,0.410424993119494,3.99996454560048,3.18904461303461e-206,0,0
"145",145,0.403361055540256,3.99996810288815,1.14717651977035e-207,0,0
"146",146,0.396418697335958,3.99997129356492,4.12667154963421e-209,0,0
