"","t","w","A","a","n","x"
"1",1,4.66455980193574,0,10,0,0
"2",2,4.35162362916695,0,0.133857018485697,0,0
"3",3,4.05968173075317,0,0.00179177013978803,0,0
"4",4,3.78732564198483,0,2.39841008723726e-05,0,0
"5",5,3.53324138928858,0,3.210440233836e-07,0,0
"6",6,3.29620315100222,0,4.29739957727811e-09,0,0
"7",7,3.07506734343577,0,5.75237094656143e-11,0,0
"8",8,2.86876710368716,0,7.69995224130461e-13,0,0
"9",9,2.67630714259495,0,1.0306926495033e-14,0,0
"10",10,2.49675894299638,0,1.37965445037635e-16,0,0
"11",11,2.3292562801249,0,1.84676431267901e-18,0,0
"12",12,2.17299104253539,0,2.47202364741e-20,0,0
"13",13,2.0272093333954,0,3.30897715068441e-22,0,0
"14",14,1.89120783333303,0,4.42929815627912e-24,0,0
"15",15,1.76433040729424,0,5.92892645183719e-26,0,0
"16",16,1.64596493903953,0,7.93628417663909e-28,0,0
"17",17,1.53554037800788,0,1.06232733774012e-29,0,0
"18",18,1.43252398430095,0,1.42199970085741e-31,0,0
"19",19,1.33641875849581,0,1.90344640244326e-33,0,0
"20",20,1.24676104388648,0,2.54789660278382e-35,0,0
"21",21,1.16311828958646,0,3.41053842658478e-37,0,0
"22",22,1.08508696370025,0,4.56524505213539e-39,0,0
"23",23,1.01229060649614,0,6.11090091335425e-41,0,0
"24",24,0.944378014187809,0,8.17986976523123e-43,0,0
"25",25,0.88102154456247,0,1.09493297837515e-44,0,0
"26",26,0.821915536281087,0,1.46564463926962e-46,0,0
"27",27,0.766774834224642,0,1.96186821572176e-48,0,0
"28",28,0.715333413772041,0,2.6260983001837e-50,0,0
"29",29,0.667343097372505,0,3.51521688712947e-52,0,0
"30",30,0.622572357220615,0,4.70536451841724e-54,0,0
"31",31,0.580805198257531,0,6.2984606532372e-56,0,0
"32",32,0.541840116109479,0,8.43093164091807e-58,0,0
"33",33,0.505489124936094,0,1.12853937251002e-59,0,0
"34",34,0.471576850498515,0,1.51062915647911e-61,0,0
"35",35,0.439939684071766,0,2.02208314923857e-63,0,0
"36",36,0.410424993119494,0,2.70670021487244e-65,0,0
"37",37,0.382890384922989,0,3.6231082069742e-67,0,0
"38",38,0.357203019611895,0,4.84978462236627e-69,0,0
"39",39,0.333238969282341,0,6.49177709847731e-71,0,0
"40",40,0.310882620110582,0,8.68969927075902e-73,0,0
"41",41,0.290026114577655,0,1.16317723592114e-74,0,0
"42",42,0.270568831114108,0,1.55699436770838e-76,0,0
"43",43,0.252416898654321,0,2.08414623860467e-78,0,0
"44",44,0.235482743758447,0,2.78977601587801e-80,0,0
"45",45,0.219684668117037,0,3.73431099728337e-82,0,0
"46",46,0.204946454400065,0,4.99863736194703e-84,0,0
"47",47,0.19119699854876,0.413984036054858,6.69102693761439e-86,0,0
"48",48,0.178369966736262,0.845141528251677,8.95640916476547e-88,0,0
"49",49,0.166403475342116,1.22413004205531,1.19887822713348e-89,0,0
"50",50,0.155239792396648,1.55729521699822,1.60478265011506e-91,0,0
"51",51,0.144825059054851,1.85020753306222,2.14811420861977e-93,0,0
"52",52,0.135109029756045,2.10775731618731,2.87540163332606e-95,0,0
"53",53,0.126044829815718,2.33423807154327,3.8489268958593e-97,0,0
"54",54,0.117588729280046,2.53341958079029,5.15205878649135e-99,0,0
"55",55,0.109699931952081,2.7086120227173,6.8963922822277e-101,0,0
"56",56,0.102340378571752,2.86272222157677,9.23130509206773e-103,0,0
"57",57,0.0954745632001364,2.99830299145787,1.23567497635602e-104,0,0
"58",58,0.0890693619221458,3.11759642580554,1.65403768152401e-106,0,0
"59",59,0.0830938730412214,3.22257187664356,2.21404552511799e-108,0,0
"60",60,0.0775192679950466,3.31495927638606,2.96365532783894e-110,0,0
"61",61,0.0723186522730355,3.39627837474037,3.96706066003771e-112,0,0
"62",62,0.0674669356645941,3.46786439272418,5.3101891210455e-114,0,0
"63",63,0.06294071121217,3.5308905340222,7.10806083338335e-116,0,0
"64",64,0.0587181422851068,3.58638773972254,9.51463830371655e-118,0,0
"65",65,0.0547788572294904,3.6352620249639,1.27360111530531e-119,0,0
"66",66,0.0511038510857316,3.67830969436727,1.70480448034827e-121,0,0
"67",67,0.0476753938997227,3.71623069660167,2.28200044840478e-123,0,0
"68",68,0.0444769451852198,3.74964034640701,3.05461776206487e-125,0,0
"69",69,0.0414930741247751,3.7790796143171,4.08882026243456e-127,0,0
"70",70,0.0387093851242331,3.80502415970327,5.47317289453396e-129,0,0
"71",71,0.0361124483616294,3.8278922611698,7.32622605319049e-131,0,0
"72",72,0.0336897349954273,3.84805177940145,9.80666776232315e-133,0,0
"73",73,0.0314295567195076,3.86582627096309,1.31269130794438e-134,0,0
"74",74,0.0293210093732949,3.88150035699563,1.75712944673525e-136,0,0
"75",75,0.0273539203349704,3.89532443798774,2.35204108833403e-138,0,0
"76",76,0.0255187994439711,3.90751883460934,3.14837207440247e-140,0,0
"77",77,0.0238067932160016,3.9182774247768,4.21431698963144e-142,0,0
"78",78,0.0222096421296715,3.92777083851131,5.64115907185683e-144,0,0
"79",79,0.0207196407786888,3.93614926460188,7.55108734162298e-146,0,0
"80",80,0.019329600697364,3.9435449164635,1.01076603787474e-147,0,0
"81",81,0.0180328156800787,3.95007419877344,1.35298128216514e-149,0,0
"82",82,0.0168230294274023,3.95583961137487,1.81106040497581e-151,0,0
"83",83,0.0156944053627685,3.96093142246969,2.42423146107561e-153,0,0
"84",84,0.0146414984740909,3.96542913920287,3.24500395498807e-155,0,0
"85",85,0.0136592290444696,3.9694028003033,4.34366554388998e-157,0,0
"86",86,0.0127428581452532,3.97291411242996,5.81430119004167e-159,0,0
"87",87,0.0118879647732235,3.97601744922667,7.78285021876819e-161,0,0
"88",88,0.0110904245216013,3.97876072976729,1.04178912560506e-162,0,0
"89",89,0.0103463896819727,3.98118619103678,1.39450786244315e-164,0,0
"90",90,0.00965227068113855,3.98333106730615,1.86664664721503e-166,0,0
"91",91,0.00900471876332835,3.98522818769173,2.49863754762527e-168,0,0
"92",92,0.00840060983423158,3.98690650181263,3.34460172401533e-170,0,0
"93",93,0.00783702938890053,3.9883915422528,4.47698414798814e-172,0,0
"94",94,0.00731125845081088,3.98970583147437,5.99275749857422e-174,0,0
"95",95,0.00682076045424308,3.9908692398983,8.02172651266949e-176,0,0
"96",96,0.00636316900669904,3.99189930105203,1.07376439409361e-177,0,0
"97",97,0.00593627647231434,3.99281148896696,1.43730900349471e-179,0,0
"98",98,0.00553802332118687,3.99361946237904,1.92393897850451e-181,0,0
"99",99,0.00516648819323819,3.99433527973363,2.57532735411031e-183,0,0
"100",100,0.00481987862867089,3.99496958851021,3.44725641245865e-185,0,0
"101",101,0.00449652242030147,3.9955317919568,4.61439465327415e-187,0,0
"102",102,0.00419485954604821,3.99603019594978,6.1766911040362e-189,0,0
"103",103,0.00391343464265257,3.99647213836606,8.26793455293415e-191,0,0
"104",104,0.00365088998432399,3.99686410306627,1.10672106829064e-192,0,0
"105",105,0.00340595893243349,3.99721182033372,1.48142382496691e-194,0,0
"106",106,0.00317745982465464,3.99752035539169,1.98298976323747e-196,0,0
"107",107,0.00296429027406997,3.99779418642527,2.65437097394627e-198,0,0
"108",108,0.00276542185073917,3.99803727336283,3.55306184527423e-200,0,0
"109",109,0.00257989512007053,3.99825311852042,4.75602265103698e-202,0,0
"110",110,0.00240681501405823,3.9984448200801,6.36627011918251e-204,0,0
"111",111,0.00224534651305429,3.99861511925623,8.52169937028355e-206,0,0
